"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","FREQUENCY","DATABASE"
"8882441000033111","Chlorpromazine Hydrochloride Suppositories 25 mg    ",,,,,"0","CPRD_AURUM"
"584741000033119","Fluphenazine Enanthate Injection 25 mg/ml    ",,,,,"146","CPRD_AURUM"
"661641000033116","Haldol Oral liquid conc. 10 mg/ml    ",,,,,"25","CPRD_AURUM"
"1277941000033111","Seroquel Tablets (starter pack) 6 x 25 mg, 2 x 100 mg    ",,,,,"14","CPRD_AURUM"
"1067141000033114","Pericyazine Tablets 25 mg    ",,,,,"263","CPRD_AURUM"
"1114041000033112","Prochlorperazine Mesylate Eff sachets Sugar Free 5 mg/sachet    ",,,,,"0","CPRD_AURUM"
"1116541000033114","Prochlorperazine Mesylate Injection 25 mg/2 ml    ",,,,,"295","CPRD_AURUM"
"1462041000033119","Trifluoperazine Liquid 10mg/ml    ",,,,,"602","CPRD_AURUM"
"1467841000033111","Trimeprazine Tartrate Syrup forte 30 mg/5 ml    ",,,,,"0","CPRD_AURUM"
"659241000033113","Haloperidol Elixir 2 mg/5 ml    ",,,,,"1077","CPRD_AURUM"
"902641000033111","Methotrimeprazine Maleate Tablets 25 mg    ",,,,,"0","CPRD_AURUM"
"1016341000033111","Orap Tablets 10 mg    ",,,,,"271","CPRD_AURUM"
"1379641000033119","Stemetil Injection 12.5 mg/ml    ",,,,,"67681","CPRD_AURUM"
"1269641000033115","Serenace Elixir 2 mg/5 ml    ",,,,,"328","CPRD_AURUM"
"1127741000033112","Prochlorperazine Maleate Spansules 10 mg    ",,,,,"605","CPRD_AURUM"
"485041000033112","Droperidol Tablets 10 mg    ",,,,,"33517","CPRD_AURUM"
"242341000033113","Chlorpromazine Hydrochloride Injection 25 mg/ml    ",,,,,"1107","CPRD_AURUM"
"420041000033111","Depixol Injection 200 mg/10 ml    ",,,,,"1495","CPRD_AURUM"
"420341000033113","Depixol Injection (syringe) 40 mg/2 ml    ",,,,,"883","CPRD_AURUM"
"659941000033116","Haloperidol Injection 5 mg/ml    ",,,,,"25636","CPRD_AURUM"
"885941000033119","Methotrimeprazine Hydrochloride Injection 25mg/ml, 1 ml ampoule    ",,,,,"0","CPRD_AURUM"
"965741000033110","Neulactil Tablets 25 mg    ",,,,,"72","CPRD_AURUM"
"1117541000033112","Promazine Hydrochloride Injection 50 mg/ml    ",,,,,"448","CPRD_AURUM"
"1459841000033114","Trifluoperazine Injection 1 mg/ml    ",,,,,"105","CPRD_AURUM"
"1832941000033117","Seroquel Tablets (starter pack) 6x25 mg, 2x100 mg, 2x150 mg    ",,,,,"81","CPRD_AURUM"
"1134241000033114","Promazine Hydrochloride Tablets 100 mg    ",,,,,"978","CPRD_AURUM"
"2730641000033111","Promazine Hydrochloride Syrup 50 mg/5 ml    ",,,,,"10","CPRD_AURUM"
"420541000033118","Depixol Conc. Injection 500 mg/5 ml    ",,,,,"238","CPRD_AURUM"
"483141000033112","Droperidol Injection 5mg/ml    ",,,,,"247","CPRD_AURUM"
"1127841000033119","Prochlorperazine Maleate Spansules 15 mg    ",,,,,"226","CPRD_AURUM"
"1129141000033118","Promazine Hydrochloride Suspension 50 mg/5 ml    ",,,,,"40782","CPRD_AURUM"
"813341000033115","Largactil Suppositories 100 mg    ",,,,,"92","CPRD_AURUM"
"1090841000033118","Pimozide Tablets 10 mg    ",,,,,"3229","CPRD_AURUM"
"4148441000033110","Chlorpromazine Capsules 10 mg    ",,,,,"684","CPRD_AURUM"
"246541000033119","Chlorpromazine Hydrochloride Suppositories 100 mg    ",,,,,"368","CPRD_AURUM"
"247241000033118","Chlorpromazine Hydrochloride Syrup 25 mg/5 ml    ",,,,,"0","CPRD_AURUM"
"476641000033118","Dozic Liquid 2mg/ml    ",,,,,"2","CPRD_AURUM"
"483541000033115","Droperidol Liquid 1mg/ml    ",,,,,"6044","CPRD_AURUM"
"660441000033110","Haloperidol Liquid 2mg/ml    ",,,,,"9188","CPRD_AURUM"
"661441000033118","Haloperidol Oral liquid conc. 10 mg/ml    ",,,,,"571","CPRD_AURUM"
"1379241000033117","Stelazine Injection 1 mg/ml    ",,,,,"185","CPRD_AURUM"
"1129941000033116","Prochlorperazine Mesylate Syrup 5 mg/5 ml    ",,,,,"0","CPRD_AURUM"
"1471041000033118","Trimeprazine Tartrate Tablets 10 mg    ",,,,,"0","CPRD_AURUM"
"242241000033115","Chlorpromazine Hydrochloride Injection 100 mg/5 ml    ",,,,,"258","CPRD_AURUM"
"420241000033115","Depixol Injection (syringe) 20 mg/1 ml    ",,,,,"1842","CPRD_AURUM"
"660041000033118","Haldol Injection 5 mg/ml    ",,,,,"698","CPRD_AURUM"
"1381441000033113","Stelazine Liquid 10mg/ml    ",,,,,"363","CPRD_AURUM"
"926041000033110","Moditen Enanthate Injection 25 mg/ml    ",,,,,"102","CPRD_AURUM"
"1379041000033113","Stemetil Injection 25 mg/2 ml    ",,,,,"2177","CPRD_AURUM"
"1116441000033113","Prochlorperazine Mesylate Injection 12.5 mg/1 ml ampoule    ",,,,,"0","CPRD_AURUM"
"1116941000033115","Prochlorperazine Maleate Injection 12.5 mg/ml    ",,,,,"2941","CPRD_AURUM"
"1467741000033118","Trimeprazine Tartrate Syrup 7.5 mg/5 ml    ",,,,,"0","CPRD_AURUM"
"2653741000033117","Methotrimeprazine Maleate Tablets 6 mg    ",,,,,"0","CPRD_AURUM"
"2216741000033116","Solian 400 tablets (Sanofi) Tablet Oral Amisulpride 400.000mg","4020100",,,,"515","CPRD_AURUM"
"2216641000033113","Amisulpride 400mg tablets Tablet Oral Amisulpride 400.000mg","4020100",,,,"205936","CPRD_AURUM"
"815741000033115","Largactil 10mg tablets (Sanofi) Tablet Oral Chlorpromazine hydrochloride 10.000mg",,,,,"11277","CPRD_AURUM"
"249041000033117","Chlorpromazine 10mg tablets Tablet Oral Chlorpromazine hydrochloride 10.000mg","4060000",,,,"141329","CPRD_AURUM"
"249241000033113","Chlorpromazine 25mg tablets Tablet Oral Chlorpromazine hydrochloride 25.000mg","4060000",,,,"1155817","CPRD_AURUM"
"815941000033117","Largactil 25mg tablets (Sanofi) Tablet Oral Chlorpromazine hydrochloride 25.000mg",,,,,"54785","CPRD_AURUM"
"816041000033110","Largactil 50mg tablets (Sanofi) Tablet Oral Chlorpromazine hydrochloride 50.000mg",,,,,"44308","CPRD_AURUM"
"249341000033115","Chlorpromazine 50mg tablets Tablet Oral Chlorpromazine hydrochloride 50.000mg","4060000",,,,"979058","CPRD_AURUM"
"249141000033118","Chlorpromazine 100mg tablets Tablet Oral Chlorpromazine hydrochloride 100.000mg","4060000",,,,"603333","CPRD_AURUM"
"815841000033113","Largactil 100mg tablets (Sanofi) Tablet Oral Chlorpromazine hydrochloride 100.000mg",,,,,"25215","CPRD_AURUM"
"12667641000033113","Chlorpromazine 100mg suppositories Suppository Rectal Chlorpromazine hydrochloride 100.000mg",,,,,"5","CPRD_AURUM"
"145141000033119","Benperidol 250microgram tablets Tablet Oral Benperidol 250.000microgram","4020100",,,,"48508","CPRD_AURUM"
"2846441000033114","Benquil 250microgram tablets (Concord Pharmaceuticals Ltd) Tablet Oral Benperidol 250.000microgram",,,,,"0","CPRD_AURUM"
"69041000033115","Anquil 250microgram tablets (Kyowa Kirin Ltd) Tablet Oral Benperidol 250.000microgram","4020100",,,,"1666","CPRD_AURUM"
