"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","FREQUENCY","DATABASE"
"7678341000033111","Epistatus Buccal Liquid 5 mg/0.5 ml pre-filled oral syringe    ",,,,,"283","CPRD_AURUM"
"7678441000033117","Epistatus Buccal Liquid 7.5 mg/0.75 ml pre-filled oral syringe    ",,,,,"276","CPRD_AURUM"
"12373741000033114","Lorazepam Oral solution 1 mg/ml (5 mg/5 ml)    ",,,,,"258","CPRD_AURUM"
"458141000033114","Diazepam Rectubes Rectal tubes 20 mg    ",,,,,"48","CPRD_AURUM"
"460741000033117","Diazepam Syrup 2 mg/5 ml    ",,,,,"0","CPRD_AURUM"
"91541000033111","Ativan Tablets 1 mg    ",,,,,"1443","CPRD_AURUM"
"923341000033115","Mogadon Capsules 5 mg    ",,,,,"1518","CPRD_AURUM"
"972541000033115","Nitrazepam Mixture 150 ml    ",,,,,"583","CPRD_AURUM"
"1173341000033116","Rivotril Injection 1mg/ml, 1 ml ampoule    ",,,,,"16","CPRD_AURUM"
"1379741000033111","Stesolid Injection 5 mg/ml    ",,,,,"56","CPRD_AURUM"
"1418141000033117","Temazepam Hard gelatin capsules 20 mg    ",,,,,"1797","CPRD_AURUM"
"3188341000033110","Diazepam Syrup 5 mg/5 ml    ",,,,,"0","CPRD_AURUM"
"248641000033119","Chlordiazepoxide Hydrochloride Tablets 5 mg    ",,,,,"2552","CPRD_AURUM"
"438341000033113","Diazepam Capsules 5 mg    ",,,,,"24420","CPRD_AURUM"
"275541000033114","Clonazepam Injection 1mg/ml, 1 ml ampoule    ",,,,,"2128","CPRD_AURUM"
"1417541000033113","Temazepam Gelthix Gel-filled capsules 15 mg    ",,,,,"47","CPRD_AURUM"
"1423141000033116","Temazepam Single dose vials 10 mg/5 ml    ",,,,,"118","CPRD_AURUM"
"457741000033114","Diazepam Rectubes 10 mg    ",,,,,"687","CPRD_AURUM"
"443641000033112","Diazepam Elixir 2 mg/5 ml    ",,,,,"61058","CPRD_AURUM"
"446741000033114","Diazepam Injection 5 mg/ml    ",,,,,"1536","CPRD_AURUM"
"837241000033111","Libraxin Tablets    ",,,,,"277","CPRD_AURUM"
"1413841000033115","Temazepam Capsules 15 mg    ",,,,,"12263","CPRD_AURUM"
"1416741000033119","Temazepam Elixir 10 mg/5 ml    ",,,,,"154596","CPRD_AURUM"
"1422141000033111","Temazepam Planpak    ",,,,,"624","CPRD_AURUM"
"4186441000033118","Epistatus Buccal Liquid Sugar-Free 10 mg/ml    ",,,,,"11243","CPRD_AURUM"
"7678241000033118","Epistatus Buccal Liquid 2.5 mg/0.25 ml pre-filled oral syringe    ",,,,,"180","CPRD_AURUM"
"6031941000033113","Xanax Tablets 1 mg    ",,,,,"0","CPRD_AURUM"
"457841000033116","Diazepam Rectubes 5 mg    ",,,,,"440","CPRD_AURUM"
"835041000033114","Librium Tablets 10 mg    ",,,,,"104","CPRD_AURUM"
