DRUG_CODE_ID,DESCRIPTION,BNF1,BNF2,BNF3,ATC,DATABASE
4.80041E+14,Donepezil 5mg tablets Tablet Oral Donepezil hydrochloride 5.000mg,4110000,,,,CPRD_AURUM
8.1141E+13,Aricept 5mg tablets (Eisai Ltd) Tablet Oral Donepezil hydrochloride 5.000mg,4110000,,,,CPRD_AURUM
8.1041E+13,Aricept 10mg tablets (Eisai Ltd) Tablet Oral Donepezil hydrochloride 10.000mg,4110000,,,,CPRD_AURUM
4.79941E+14,Donepezil 10mg tablets Tablet Oral Donepezil hydrochloride 10.000mg,4110000,,,,CPRD_AURUM
1.67334E+15,Rivastigmine 1.5mg capsules Capsule Oral Rivastigmine hydrogen tartrate 1.500mg,4110000,,,,CPRD_AURUM
1.60924E+15,Exelon 1.5mg capsules (Novartis Pharmaceuticals UK Ltd) Capsule Oral Rivastigmine hydrogen tartrate 1.500mg,4110000,,,,CPRD_AURUM
6.46944E+15,Nimvastid 1.5mg capsules (Consilient Health Ltd) Capsule Oral Rivastigmine hydrogen tartrate 1.500mg,,,,,CPRD_AURUM
8.27164E+15,Kerstipon 1.5mg capsules (Aspire Pharma Ltd) Capsule Oral Rivastigmine hydrogen tartrate 1.500mg,,,,,CPRD_AURUM
8.27174E+15,Kerstipon 3mg capsules (Aspire Pharma Ltd) Capsule Oral Rivastigmine hydrogen tartrate 3.000mg,,,,,CPRD_AURUM
6.46954E+15,Nimvastid 3mg capsules (Consilient Health Ltd) Capsule Oral Rivastigmine hydrogen tartrate 3.000mg,,,,,CPRD_AURUM
1.60934E+15,Exelon 3mg capsules (Novartis Pharmaceuticals UK Ltd) Capsule Oral Rivastigmine hydrogen tartrate 3.000mg,4110000,,,,CPRD_AURUM
1.67344E+15,Rivastigmine 3mg capsules Capsule Oral Rivastigmine hydrogen tartrate 3.000mg,4110000,,,,CPRD_AURUM
1.67354E+15,Rivastigmine 4.5mg capsules Capsule Oral Rivastigmine hydrogen tartrate 4.500mg,4110000,,,,CPRD_AURUM
1.60944E+15,Exelon 4.5mg capsules (Novartis Pharmaceuticals UK Ltd) Capsule Oral Rivastigmine hydrogen tartrate 4.500mg,4110000,,,,CPRD_AURUM
