"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","FREQUENCY","DATABASE"
"2191341000033112","Galantamine 4mg tablets Tablet Oral Galantamine hydrobromide 4.000mg","4110000",,,,"12521","CPRD_AURUM"
"2191641000033116","Reminyl 4mg tablets (Shire Pharmaceuticals Ltd) Tablet Oral Galantamine hydrobromide 4.000mg","4110000",,,,"990","CPRD_AURUM"
"2191741000033113","Reminyl 8mg tablets (Shire Pharmaceuticals Ltd) Tablet Oral Galantamine hydrobromide 8.000mg","4110000",,,,"2258","CPRD_AURUM"
"2191441000033118","Galantamine 8mg tablets Tablet Oral Galantamine hydrobromide 8.000mg","4110000",,,,"60111","CPRD_AURUM"
"2191541000033117","Galantamine 12mg tablets Tablet Oral Galantamine hydrobromide 12.000mg","4110000",,,,"67090","CPRD_AURUM"
"2191841000033115","Reminyl 12mg tablets (Shire Pharmaceuticals Ltd) Tablet Oral Galantamine hydrobromide 12.000mg","4110000",,,,"4231","CPRD_AURUM"
"2801441000033112","Galantamine 20mg/5ml oral solution sugar free Oral solution Oral Galantamine hydrobromide 4.000mg/1.000ml","4110000",,,,"13421","CPRD_AURUM"
"2801541000033113","Reminyl 4mg/ml oral solution (Shire Pharmaceuticals Ltd) Oral solution Oral Galantamine hydrobromide 4.000mg/1.000ml","4110000",,,,"2242","CPRD_AURUM"
"12603841000033115","Galzemic 4mg/ml oral solution (Creo Pharma Ltd) Oral solution Oral Galantamine hydrobromide 4.000mg/1.000ml",,,,,"15","CPRD_AURUM"
"6435941000033119","Galsya XL 16mg capsules (Consilient Health Ltd) Modified-release capsule Oral Galantamine hydrobromide 16.000mg","4110000",,,,"17","CPRD_AURUM"
"6529341000033114","Zeebral XL 16mg capsules (Teva UK Ltd) Modified-release capsule Oral Galantamine hydrobromide 16.000mg",,,,,"14","CPRD_AURUM"
"8127341000033119","Gatalin XL 16mg capsules (Aspire Pharma Ltd) Modified-release capsule Oral Galantamine hydrobromide 16.000mg",,,,,"47560","CPRD_AURUM"
"8243041000033111","Lotprosin XL 16mg capsules (Accord Healthcare Ltd) Modified-release capsule Oral Galantamine hydrobromide 16.000mg",,,,,"18","CPRD_AURUM"
"7690441000033111","Acumor XL 16mg capsules (Mylan) Modified-release capsule Oral Galantamine hydrobromide 16.000mg",,,,,"75","CPRD_AURUM"
"8305441000033119","Elmino XL 16mg capsules (Zentiva) Modified-release capsule Oral Galantamine hydrobromide 16.000mg",,,,,"3","CPRD_AURUM"
"3293641000033110","Galantamine 16mg modified-release capsules Modified-release capsule Oral Galantamine hydrobromide 16.000mg","4110000",,,,"183108","CPRD_AURUM"
"3293941000033115","Reminyl XL 16mg capsules (Shire Pharmaceuticals Ltd) Modified-release capsule Oral Galantamine hydrobromide 16.000mg","4110000",,,,"10081","CPRD_AURUM"
"12640941000033113","Gaalin 16mg modified-release capsules (Milpharm Ltd) Modified-release capsule Oral Galantamine hydrobromide 16.000mg",,,,,"0","CPRD_AURUM"
"9679341000033110","Luventa XL 16mg capsules (Fontus Health Ltd) Modified-release capsule Oral Galantamine hydrobromide 16.000mg",,,,,"12423","CPRD_AURUM"
"11825841000033115","Galzemic XL 16mg capsules (Creo Pharma Ltd) Modified-release capsule Oral Galantamine hydrobromide 16.000mg",,,,,"3334","CPRD_AURUM"
