DRUG_CODE_ID,DESCRIPTION,BNF1,BNF2,BNF3,ATC,DATABASE
5.12824E+15,Glucophage Tablets 1000 mg    ,,,,,CPRD_AURUM
3.89094E+15,Metformin Hydrochloride Sugar free suspension 500 mg/5 ml    ,,,,,CPRD_AURUM
8.96941E+14,Metformin 500mg tablets Tablet Oral Metformin hydrochloride 500.000mg,6010202,,,,CPRD_AURUM
6.44941E+14,Glucophage 500mg tablets (Merck Serono Ltd) Tablet Oral Metformin hydrochloride 500.000mg,6010202,,,,CPRD_AURUM
6.45041E+14,Glucophage 850mg tablets (Merck Serono Ltd) Tablet Oral Metformin hydrochloride 850.000mg,6010202,,,,CPRD_AURUM
8.97041E+14,Metformin 850mg tablets Tablet Oral Metformin hydrochloride 850.000mg,6010202,,,,CPRD_AURUM
3.22824E+15,Glucophage SR 500mg tablets (Merck Serono Ltd) Modified-release tablet Oral Metformin hydrochloride 500.000mg,6010202,,,,CPRD_AURUM
3.22814E+15,Metformin 500mg modified-release tablets Modified-release tablet Oral Metformin hydrochloride 500.000mg,6010202,,,,CPRD_AURUM
6.39104E+15,Glucient SR 500mg tablets (Consilient Health Ltd) Modified-release tablet Oral Metformin hydrochloride 500.000mg,,,,,CPRD_AURUM
6.02984E+15,Metabet SR 500mg tablets (Morningside Healthcare Ltd) Modified-release tablet Oral Metformin hydrochloride 500.000mg,,,,,CPRD_AURUM
4.95774E+15,Bolamyn SR 500mg tablets (Teva UK Ltd) Modified-release tablet Oral Metformin hydrochloride 500.000mg,6010202,,,,CPRD_AURUM
7.87494E+15,Diagemet XL 500mg tablets (Thornton & Ross Ltd) Modified-release tablet Oral Metformin hydrochloride 500.000mg,,,,,CPRD_AURUM
1.25931E+16,Yaltormin SR 500mg tablets (Wockhardt UK Ltd) Modified-release tablet Oral Metformin hydrochloride 500.000mg,,,,,CPRD_AURUM
1.23265E+16,Meijumet 500mg modified-release tablets (Medreich Plc) Modified-release tablet Oral Metformin hydrochloride 500.000mg,,,,,CPRD_AURUM
1.26644E+16,Metuxtan SR 500mg tablets (Accord Healthcare Ltd) Modified-release tablet Oral Metformin hydrochloride 500.000mg,,,,,CPRD_AURUM
9.23064E+15,Sukkarto SR 500mg tablets (Morningside Healthcare Ltd) Modified-release tablet Oral Metformin hydrochloride 500.000mg,,,,,CPRD_AURUM
3.19134E+15,Rosiglitazone 1mg / Metformin 500mg tablets Tablet Oral Metformin hydrochloride/ Rosiglitazone maleate 500.000mg + 1.000mg,,,,,CPRD_AURUM
