DRUG_CODE_ID,DESCRIPTION,BNF1,BNF2,BNF3,ATC,DATABASE
3678,Metformin Hydrochloride modified release tablet750 mgTabletOral,,,,,UHB
4349,Metformin Hydrochloride modified release tablet2 gTabletOral,,,,,UHB
3450,Metformin Hydrochloride1000 mgOral SolutionGastrost.,,,,,UHB
4780,empaglifozin 5mg/metformin 1000mg1 tabTabletOral,,,,,UHB
1541,metformin sr1 gTabletOral,,,,,UHB
4642,linagliptin 2.5mg/metformin 1g1 tabTabletOral,,,,,UHB
1866,.empagliflozin/metformin1 tabTabletOral,,,,,UHB
2175,Metformin Hydrochloride modified release tablet2000 mgTabletOral,,,,,UHB
1869,.empagliflozin/metformin0 tabTabletOral,,,,,UHB
2257,Metformin Hydrochloride500 mgOral SolutionNasogas.,,,,,UHB
4244,.canaliflozin 50mg/metformin 1g1 tabTabletOral,,,,,UHB
3616,Metformin Hydrochloride modified release tablet0 mgTabletOral,,,,,UHB
2123,Metformin Hydrochloride1000 mgOral SolutionNasogas.,,,,,UHB
2220,Metformin Hydrochloride500 mgOral SolutionOral,,,,,UHB
4755,dapagliflozin 5mg / metformin 1g tabs1 tabTabletOral,,,,,UHB
313,Metformin Hydrochloride850 mgTabletOral,,,,,UHB
2384,Metformin Hydrochloride1000 mgOral SolutionOral,,,,,UHB
2116,Metformin Hydrochloride1000 mgTabletNasogas.,,,,,UHB
4335,Metformin Hydrochloride modified release tablet1 mgTabletOral,,,,,UHB
4601,dapagliflozin/metformin1 tabTabletOral,,,,,UHB
184,Metformin Hydrochloride1 gTabletOral,,,,,UHB
1542,Metformin Hydrochloride modified release tablet1 gTabletOral,,,,,UHB
1870,.empagliflozin 12.5mg/ metformin 1000mg1 tabTabletOral,,,,,UHB
225,Metformin Hydrochloride modified release tablet500 mgTabletOral,,,,,UHB
195,Metformin Hydrochloride1000 mgTabletOral,,,,,UHB
1502,.canagliflozin 50mg/metformin 1000mg 1 tabTabletOral,,,,,UHB
2892,Metformin Hydrochloride1 gOral SolutionOral,,,,,UHB
3903,Metformin Hydrochloride850 mgOral SolutionOral,,,,,UHB
1320,Metformin Hydrochloride1500 mgTabletOral,,,,,UHB
162,Metformin Hydrochloride500 mgTabletOral,,,,,UHB
4491,.pioglitazone 15mg / metformin 850mg tablets1 tabTabletOral,,,,,UHB
4378,Metformin Hydrochloride500-1000 mgTabletOral,,,,,UHB
604,Metformin Hydrochloride modified release tablet1000 mgTabletOral,,,,,UHB
2859,Metformin HydrochlorideTabletOral,,,,,UHB
2060,Metformin Hydrochloride500 mgOral SolutionGastrost.,,,,,UHB
4631,metformin 1g/sitagliptin 50mg (janumet)1 tabTabletOral,,,,,UHB
