DRUG_CODE_ID,DESCRIPTION,BNF1,BNF2,BNF3,ATC,DATABASE
2.97494E+15,Zispin Orodispersible tablets 30 mg    ,,,,,CPRD_AURUM
9.19641E+14,Mirtazapine 30mg tablets Tablet Oral Mirtazapine 30.000mg,,,,,CPRD_AURUM
1.55804E+15,Zispin 30mg tablets (Organon Laboratories Ltd) Tablet Oral Mirtazapine 30.000mg,,,,,CPRD_AURUM
3.25674E+15,Mirtazapine 15mg tablets Tablet Oral Mirtazapine 15.000mg,,,,,CPRD_AURUM
3.02964E+15,Mirtazapine 15mg orodispersible tablets Orodispersible tablet Oral Mirtazapine 15.000mg,4030400,,,,CPRD_AURUM
3.02984E+15,Zispin SolTab 15mg orodispersible tablets (Merck Sharp & Dohme Ltd) Orodispersible tablet Oral Mirtazapine 15.000mg,4030400,,,,CPRD_AURUM
3.07854E+15,Zispin SolTab 30mg orodispersible tablets (Merck Sharp & Dohme Ltd) Orodispersible tablet Oral Mirtazapine 30.000mg,4030400,,,,CPRD_AURUM
2.97484E+15,Mirtazapine 30mg orodispersible tablets Orodispersible tablet Oral Mirtazapine 30.000mg,4030400,,,,CPRD_AURUM
3.25684E+15,Mirtazapine 45mg tablets Tablet Oral Mirtazapine 45.000mg,,,,,CPRD_AURUM
3.02994E+15,Zispin SolTab 45mg orodispersible tablets (Merck Sharp & Dohme Ltd) Orodispersible tablet Oral Mirtazapine 45.000mg,4030400,,,,CPRD_AURUM
3.02974E+15,Mirtazapine 45mg orodispersible tablets Orodispersible tablet Oral Mirtazapine 45.000mg,4030400,,,,CPRD_AURUM
3.05874E+15,Mirtazapine 15mg/ml oral solution sugar free Oral solution Oral Mirtazapine 15.000mg/1.000ml,4030400,,,,CPRD_AURUM
1.37462E+16,Mirtazapine 15mg orodispersible tablets (Imported) Mirtazapine 15mg orodispersible tablets Orodispersible tablet  Mirtazapine 15.000mg,,,,,CPRD_AURUM
1.37463E+16,Mirtazapine 45mg orodispersible tablets (Imported) Mirtazapine 45mg orodispersible tablets Orodispersible tablet  Mirtazapine 45.000mg,,,,,CPRD_AURUM
