DRUG_CODE_ID,DESCRIPTION,BNF1,BNF2,BNF3,ATC,DATABASE
1.67334E+15,Rivastigmine 1.5mg capsules Capsule Oral Rivastigmine hydrogen tartrate 1.500mg,4110000,,,,CPRD_AURUM
1.60924E+15,Exelon 1.5mg capsules (Novartis Pharmaceuticals UK Ltd) Capsule Oral Rivastigmine hydrogen tartrate 1.500mg,4110000,,,,CPRD_AURUM
6.46944E+15,Nimvastid 1.5mg capsules (Consilient Health Ltd) Capsule Oral Rivastigmine hydrogen tartrate 1.500mg,,,,,CPRD_AURUM
8.27164E+15,Kerstipon 1.5mg capsules (Aspire Pharma Ltd) Capsule Oral Rivastigmine hydrogen tartrate 1.500mg,,,,,CPRD_AURUM
8.27174E+15,Kerstipon 3mg capsules (Aspire Pharma Ltd) Capsule Oral Rivastigmine hydrogen tartrate 3.000mg,,,,,CPRD_AURUM
6.46954E+15,Nimvastid 3mg capsules (Consilient Health Ltd) Capsule Oral Rivastigmine hydrogen tartrate 3.000mg,,,,,CPRD_AURUM
1.60934E+15,Exelon 3mg capsules (Novartis Pharmaceuticals UK Ltd) Capsule Oral Rivastigmine hydrogen tartrate 3.000mg,4110000,,,,CPRD_AURUM
1.67344E+15,Rivastigmine 3mg capsules Capsule Oral Rivastigmine hydrogen tartrate 3.000mg,4110000,,,,CPRD_AURUM
1.67354E+15,Rivastigmine 4.5mg capsules Capsule Oral Rivastigmine hydrogen tartrate 4.500mg,4110000,,,,CPRD_AURUM
1.60944E+15,Exelon 4.5mg capsules (Novartis Pharmaceuticals UK Ltd) Capsule Oral Rivastigmine hydrogen tartrate 4.500mg,4110000,,,,CPRD_AURUM
6.46964E+15,Nimvastid 4.5mg capsules (Consilient Health Ltd) Capsule Oral Rivastigmine hydrogen tartrate 4.500mg,,,,,CPRD_AURUM
8.27184E+15,Kerstipon 4.5mg capsules (Aspire Pharma Ltd) Capsule Oral Rivastigmine hydrogen tartrate 4.500mg,,,,,CPRD_AURUM
8.27194E+15,Kerstipon 6mg capsules (Aspire Pharma Ltd) Capsule Oral Rivastigmine hydrogen tartrate 6.000mg,,,,,CPRD_AURUM
6.46974E+15,Nimvastid 6mg capsules (Consilient Health Ltd) Capsule Oral Rivastigmine hydrogen tartrate 6.000mg,,,,,CPRD_AURUM
1.60954E+15,Exelon 6mg capsules (Novartis Pharmaceuticals UK Ltd) Capsule Oral Rivastigmine hydrogen tartrate 6.000mg,4110000,,,,CPRD_AURUM
1.67364E+15,Rivastigmine 6mg capsules Capsule Oral Rivastigmine hydrogen tartrate 6.000mg,4110000,,,,CPRD_AURUM
2.65644E+15,Rivastigmine 2mg/ml oral solution sugar free Oral solution Oral Rivastigmine hydrogen tartrate 2.000mg/1.000ml,4110000,,,,CPRD_AURUM
2.65654E+15,Exelon 2mg/ml oral solution (Novartis Pharmaceuticals UK Ltd) Oral solution Oral Rivastigmine hydrogen tartrate 2.000mg/1.000ml,4110000,,,,CPRD_AURUM
4.32124E+15,Rivastigmine 4.6mg/24hours transdermal patches Transdermal patch Transdermal Rivastigmine 4.600mg/24.000hour,4110000,,,,CPRD_AURUM
4.32204E+15,Exelon 4.6mg/24hours transdermal patches (Novartis Pharmaceuticals UK Ltd) Transdermal patch Transdermal Rivastigmine 4.600mg/24.000hour,4110000,,,,CPRD_AURUM
