"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","FREQUENCY","DATABASE"
"1512241000033119","Venlafaxine 37.5mg tablets Tablet Oral Venlafaxine hydrochloride 37.500mg","4030400",,,,"2325821","CPRD_AURUM"
"499041000033111","Efexor 37.5mg tablets (Wyeth Pharmaceuticals) Tablet Oral Venlafaxine hydrochloride 37.500mg",,,,,"56575","CPRD_AURUM"
"4897041000033116","ViePax 37.5mg tablets (Dexcel-Pharma Ltd) Tablet Oral Venlafaxine hydrochloride 37.500mg",,,,,"904","CPRD_AURUM"
"4896941000033117","ViePax 75mg tablets (Dexcel-Pharma Ltd) Tablet Oral Venlafaxine hydrochloride 75.000mg",,,,,"872","CPRD_AURUM"
"499141000033110","Efexor 75mg tablets (Wyeth Pharmaceuticals) Tablet Oral Venlafaxine hydrochloride 75.000mg",,,,,"27303","CPRD_AURUM"
"1512341000033112","Venlafaxine 75mg tablets Tablet Oral Venlafaxine hydrochloride 75.000mg","4030400",,,,"2326033","CPRD_AURUM"
"1512441000033118","Venlafaxine 50mg tablets Tablet Oral Venlafaxine hydrochloride 50.000mg",,,,,"21970","CPRD_AURUM"
"499241000033115","Efexor 50mg tablets (Wyeth Pharmaceuticals) Tablet Oral Venlafaxine hydrochloride 50.000mg",,,,,"2189","CPRD_AURUM"
"498441000033112","Efexor XL 75mg capsules (Upjohn UK Ltd) Modified-release capsule Oral Venlafaxine hydrochloride 75.000mg","4030400",,,,"171387","CPRD_AURUM"
"1509341000033117","Venlafaxine 75mg modified-release capsules Modified-release capsule Oral Venlafaxine hydrochloride 75.000mg","4030400",,,,"3305669","CPRD_AURUM"
"4817741000033119","Tifaxin XL 75mg capsules (Genus Pharmaceuticals Ltd) Modified-release capsule Oral Venlafaxine hydrochloride 75.000mg","4030400",,,,"123","CPRD_AURUM"
"4897141000033117","Tardcaps XL 75mg capsules (IXL Pharma Ltd) Modified-release capsule Oral Venlafaxine hydrochloride 75.000mg",,,,,"142","CPRD_AURUM"
"4896841000033113","Vexarin XL 75mg capsules (Mylan) Modified-release capsule Oral Venlafaxine hydrochloride 75.000mg",,,,,"87","CPRD_AURUM"
"4899541000033115","Vensir XL 75mg capsules (Morningside Healthcare Ltd) Modified-release capsule Oral Venlafaxine hydrochloride 75.000mg",,,,,"426557","CPRD_AURUM"
"4817441000033114","Rodomel XL 75mg capsules (Teva UK Ltd) Modified-release capsule Oral Venlafaxine hydrochloride 75.000mg",,,,,"1507","CPRD_AURUM"
"4818641000033112","Trixat XL 75mg capsules (PLIVA Pharma Ltd) Modified-release capsule Oral Venlafaxine hydrochloride 75.000mg",,,,,"0","CPRD_AURUM"
"4824641000033113","Winfex XL 75mg capsules (Zentiva) Modified-release capsule Oral Venlafaxine hydrochloride 75.000mg","4030400",,,,"4","CPRD_AURUM"
"4937041000033115","Vaxalin XL 75mg capsules (Ratiopharm UK Ltd) Modified-release capsule Oral Venlafaxine hydrochloride 75.000mg",,,,,"2","CPRD_AURUM"
"4936641000033111","Venaxx XL 75mg capsules (Advanz Pharma) Modified-release capsule Oral Venlafaxine hydrochloride 75.000mg","4030400",,,,"74556","CPRD_AURUM"
"4957841000033111","Politid XL 75mg capsules (Actavis UK Ltd) Modified-release capsule Oral Venlafaxine hydrochloride 75.000mg",,,,,"174","CPRD_AURUM"
"5234041000033119","Foraven XL 75mg capsules (Forum Products Ltd) Modified-release capsule Oral Venlafaxine hydrochloride 75.000mg","4030400",,,,"10","CPRD_AURUM"
"6029741000033113","Venlaneo XL 75mg capsules (Kent Pharmaceuticals Ltd) Modified-release capsule Oral Venlafaxine hydrochloride 75.000mg",,,,,"14","CPRD_AURUM"
"5328941000033119","Ranfaxine XL 75mg capsules (Ranbaxy (UK) Ltd) Modified-release capsule Oral Venlafaxine hydrochloride 75.000mg",,,,,"1","CPRD_AURUM"
"5813341000033119","Alventa XL 75mg capsules (Consilient Health Ltd) Modified-release capsule Oral Venlafaxine hydrochloride 75.000mg",,,,,"884","CPRD_AURUM"
"5812541000033115","Venlablue XL 75mg capsules (Zentiva) Modified-release capsule Oral Venlafaxine hydrochloride 75.000mg",,,,,"32856","CPRD_AURUM"
"5574641000033117","Tonpular XL 75mg capsules (Wockhardt UK Ltd) Modified-release capsule Oral Venlafaxine hydrochloride 75.000mg",,,,,"790","CPRD_AURUM"
"5889541000033114","Mentaven XL 75mg capsules (Arrow Generics Ltd) Modified-release capsule Oral Venlafaxine hydrochloride 75.000mg",,,,,"0","CPRD_AURUM"
"5896341000033112","Depefex XL 75mg capsules (Chiesi Ltd) Modified-release capsule Oral Venlafaxine hydrochloride 75.000mg",,,,,"15395","CPRD_AURUM"
"8265541000033112","Bonilux XL 75mg capsules (Sandoz Ltd) Modified-release capsule Oral Venlafaxine hydrochloride 75.000mg",,,,,"1","CPRD_AURUM"
