DRUG_CODE_ID,DESCRIPTION,BNF1,BNF2,BNF3,ATC,DATABASE
5.10404E+15,Seroxat Cr M/R tablets 12.5 mg    ,,,,,CPRD_AURUM
3.19984E+15,Paxoran Tablets 10 mg    ,,,,,CPRD_AURUM
3.20004E+15,Paxoran Tablets 40 mg    ,,,,,CPRD_AURUM
6.02934E+15,Seroxat Cr M/R tablets 25 mg    ,,,,,CPRD_AURUM
5.92541E+14,Fluoxetine Hydrochloride Liquid 20 mg/5 ml    ,,,,,CPRD_AURUM
3.19994E+15,Paxoran Tablets 20 mg    ,,,,,CPRD_AURUM
5.12774E+15,Prozac Weekly Delayed Release Capsules 90 mg    ,,,,,CPRD_AURUM
5.63341E+14,Faverin 50mg tablets (Mylan) Tablet Oral Fluvoxamine maleate 50.000mg,4030300,,,,CPRD_AURUM
5.95541E+14,Fluvoxamine 50mg tablets Tablet Oral Fluvoxamine maleate 50.000mg,4030300,,,,CPRD_AURUM
5.92841E+14,Fluvoxamine 100mg tablets Tablet Oral Fluvoxamine maleate 100.000mg,4030300,,,,CPRD_AURUM
5.61941E+14,Faverin 100mg tablets (Mylan) Tablet Oral Fluvoxamine maleate 100.000mg,4030300,,,,CPRD_AURUM
1.11244E+15,Prozac 20mg capsules (Eli Lilly and Company Ltd) Capsule Oral Fluoxetine hydrochloride 20.000mg,4030300,,,,CPRD_AURUM
1.92314E+15,Felicium 20mg capsules (Opus Pharmaceuticals Ltd) Capsule Oral Fluoxetine hydrochloride 20.000mg,,,,,CPRD_AURUM
2.60204E+15,Oxactin 20mg capsules (Discovery Pharmaceuticals) Capsule Oral Fluoxetine hydrochloride 20.000mg,4030300,,,,CPRD_AURUM
2.71044E+15,Ranflutin 20mg capsules (Ranbaxy (UK) Ltd) Capsule Oral Fluoxetine hydrochloride 20.000mg,,,,,CPRD_AURUM
5.77841E+14,Fluoxetine 20mg capsules Capsule Oral Fluoxetine hydrochloride 20.000mg,4030300,,,,CPRD_AURUM
2.77064E+15,Fluoxetine 20mg/5ml oral solution Oral solution Oral Fluoxetine hydrochloride 4.000mg/1.000ml,4030300,,,,CPRD_AURUM
1.12954E+15,Prozac 20mg/5ml liquid (Eli Lilly and Company Ltd) Oral solution Oral Fluoxetine hydrochloride 4.000mg/1.000ml,4030300,,,,CPRD_AURUM
2.77054E+15,Prozit 20mg/5ml oral solution (Pinewood Healthcare) Oral solution Oral Fluoxetine hydrochloride 4.000mg/1.000ml,,,,,CPRD_AURUM
1.11194E+15,Prozac 60mg capsules (Eli Lilly and Company Ltd) Capsule Oral Fluoxetine hydrochloride 60.000mg,4030300,,,,CPRD_AURUM
5.79041E+14,Fluoxetine 60mg capsules Capsule Oral Fluoxetine hydrochloride 60.000mg,4030300,,,,CPRD_AURUM
1.27884E+15,Sertraline 50mg tablets Tablet Oral Sertraline hydrochloride 50.000mg,4030300,,,,CPRD_AURUM
8.54241E+14,Lustral 50mg tablets (Upjohn UK Ltd) Tablet Oral Sertraline hydrochloride 50.000mg,4030300,,,,CPRD_AURUM
8.54141E+14,Lustral 100mg tablets (Upjohn UK Ltd) Tablet Oral Sertraline hydrochloride 100.000mg,4030300,,,,CPRD_AURUM
1.27874E+15,Sertraline 100mg tablets Tablet Oral Sertraline hydrochloride 100.000mg,4030300,,,,CPRD_AURUM
1.04214E+15,Paroxetine 20mg tablets Tablet Oral Paroxetine hydrochloride 20.000mg,4030300,,,,CPRD_AURUM
1.27834E+15,Seroxat 20mg tablets (GlaxoSmithKline UK Ltd) Tablet Oral Paroxetine hydrochloride 20.000mg,4030300,,,,CPRD_AURUM
