"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","FREQUENCY","DATABASE"
"167441000033112","Buprenorphine Injection 300 micrograms    ",,,,,"220","CPRD_AURUM"
"885741000033117","Methadone Hydrochloride Injection 10mg/ml    ",,,,,"8246","CPRD_AURUM"
"1025241000033119","Oxycodone Pectinate Suppositories 30 mg    ",,,,,"259","CPRD_AURUM"
"1152841000033117","Rapifen Injection 500 micrograms/ml    ",,,,,"4","CPRD_AURUM"
"2052541000033112","Methadone Hydrochloride Diluent Oral Solution Sugar Free    ",,,,,"1138","CPRD_AURUM"
"4556341000033112","Morphine Sulfate Injection 10 mg/0.7 ml Auto-Injector    ",,,,,"0","CPRD_AURUM"
"933241000033110","Morphine Sulfate Sachets 20 mg    ",,,,,"0","CPRD_AURUM"
"1014141000033119","Oramorph Sr M/R tablets 30 mg    ",,,,,"2260","CPRD_AURUM"
"1041941000033110","Papaveretum Tablets 10 mg    ",,,,,"11","CPRD_AURUM"
"1419141000033111","Temgesic Injection 300 micrograms    ",,,,,"241","CPRD_AURUM"
"567641000033118","Fentanyl Citrate Injection 50 micrograms/ml    ",,,,,"47","CPRD_AURUM"
"447541000033115","Diamorphine Hydrochloride Injection 10 mg/ml    ",,,,,"17605","CPRD_AURUM"
"928941000033112","Morphine Sulfate Injection 30 mg/ml    ",,,,,"786","CPRD_AURUM"
"933341000033117","Morphine Sulfate Sachets 30 mg    ",,,,,"0","CPRD_AURUM"
"1013941000033115","Oramorph Sr M/R tablets 10 mg    ",,,,,"4212","CPRD_AURUM"
"1273941000033119","Sevredol Suppositories 30 mg    ",,,,,"2","CPRD_AURUM"
"2180641000033111","Morphine Sulfate Suppositories 100 mg    ",,,,,"2","CPRD_AURUM"
"12576241000033112","Fentanyl Solution for injection 100 micrograms/2 ml ampoule    ",,,,,"0","CPRD_AURUM"
"447741000033111","Diamorphine Hydrochloride Injection 500 mg/2 ml    ",,,,,"296","CPRD_AURUM"
"928041000033111","Morphine Sulfate Injection 2 mg/ml, 50 ml syringe    ",,,,,"38","CPRD_AURUM"
"932041000033111","Morphine Oral solution 8.4 mg/ml    ",,,,,"139","CPRD_AURUM"
"1014241000033114","Oramorph Sr M/R tablets 60 mg    ",,,,,"1093","CPRD_AURUM"
"1073941000033113","Physeptone Injection 10mg/ml    ",,,,,"2315","CPRD_AURUM"
"1075041000033111","Physeptone Linctus 2 mg/5 ml    ",,,,,"19","CPRD_AURUM"
"2661341000033113","Synastone Injection 10 mg/ml, 3.5 ml ampoule    ",,,,,"0","CPRD_AURUM"
"2927041000033113","Mediject Morphine Sulfate Auto-Injector 10 mg/1 ml pre-filled disposable injection    ",,,,,"0","CPRD_AURUM"
"31541000033119","Alfentanil Injection 500 micrograms/ml    ",,,,,"177","CPRD_AURUM"
"924841000033114","Morphine Sulfate Epidural injection 2 mg/10 ml    ",,,,,"34","CPRD_AURUM"
"927941000033113","Morphine Sulfate Injection 1 mg/ml, 50 ml syringe    ",,,,,"33","CPRD_AURUM"
"931041000033118","Morphine Hydrochloride Mixture 916 micrograms    ",,,,,"102","CPRD_AURUM"
"1034241000033116","Papaveretum And Hyoscine Injection    ",,,,,"0","CPRD_AURUM"
"1273741000033117","Sevredol Suppositories 10 mg    ",,,,,"9","CPRD_AURUM"
"1273841000033110","Sevredol Suppositories 20 mg    ",,,,,"3","CPRD_AURUM"
"2180441000033114","Morphine Sulfate Suppositories 50 mg    ",,,,,"8","CPRD_AURUM"
"443541000033111","Dihydrocodeine Tartrate Elixir 10mg/5 ml    ",,,,,"0","CPRD_AURUM"
"451341000033118","Diamorphine Hydrochloride Linctus 3mg/5 ml    ",,,,,"9","CPRD_AURUM"
"599141000033118","Fortral Capsules 50 mg    ",,,,,"130","CPRD_AURUM"
"911641000033119","Min-I-Jet Morphine Sulfate Injection 10 mg/ml    ",,,,,"0","CPRD_AURUM"
