"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","FREQUENCY","DATABASE"
"43441000033118","Amitriptyline Sr Capsules 75 mg    ",,,,,"29064","CPRD_AURUM"
"43641000033116","Amitriptyline Hydrochloride Capsules 50 mg    ",,,,,"21598","CPRD_AURUM"
"979341000033117","Nortriptyline Capsules 25 mg    ",,,,,"5047","CPRD_AURUM"
"64241000033110","Anafranil Injection 12.5mg/ml    ",,,,,"5","CPRD_AURUM"
"420041000033111","Depixol Injection 200 mg/10 ml    ",,,,,"1495","CPRD_AURUM"
"420341000033113","Depixol Injection (syringe) 40 mg/2 ml    ",,,,,"883","CPRD_AURUM"
"420541000033118","Depixol Conc. Injection 500 mg/5 ml    ",,,,,"238","CPRD_AURUM"
"979241000033110","Nortriptyline Capsules 10 mg    ",,,,,"3075","CPRD_AURUM"
"754141000033110","Imipramine Hydrochloride Syrup 25 mg/5 ml    ",,,,,"22930","CPRD_AURUM"
"275441000033113","Clomipramine Hydrochloride Injection 12.5mg/ml    ",,,,,"18","CPRD_AURUM"
"1450741000033110","Tofranil Tablets 10 mg    ",,,,,"8440","CPRD_AURUM"
"43541000033117","Amitriptyline Hydrochloride Capsules 25 mg    ",,,,,"41750","CPRD_AURUM"
"50041000033116","Amitriptyline Hydrochloride Injection 10mg/ml    ",,,,,"28","CPRD_AURUM"
"420241000033115","Depixol Injection (syringe) 20 mg/1 ml    ",,,,,"1842","CPRD_AURUM"
"43741000033113","Amitriptyline Hydrochloride Capsules 75 mg    ",,,,,"25861","CPRD_AURUM"
"51941000033114","Amitriptyline Hydrochloride Mixture Sugar Free 10 mg/5 ml    ",,,,,"36443","CPRD_AURUM"
"983141000033114","Nortriptyline Liquid 10mg/5 ml    ",,,,,"24","CPRD_AURUM"
"431741000033118","Depixol 3mg tablets (Lundbeck Ltd) Tablet Oral Flupentixol dihydrochloride 3.000mg","4020100",,,,"26515","CPRD_AURUM"
"3091241000033119","Flupentixol 3mg tablets Tablet Oral Flupentixol dihydrochloride 3.000mg","4030400",,,,"95459","CPRD_AURUM"
"60441000033116","Amitriptyline 10mg tablets Tablet Oral Amitriptyline hydrochloride 10.000mg","7040200",,,,"26188000","CPRD_AURUM"
"60641000033119","Amitriptyline 25mg tablets Tablet Oral Amitriptyline hydrochloride 25.000mg","7040200",,,,"15095072","CPRD_AURUM"
"60541000033115","Amitriptyline 50mg tablets Tablet Oral Amitriptyline hydrochloride 50.000mg","7040200",,,,"7747917","CPRD_AURUM"
"262041000033115","Clomipramine 10mg capsules Capsule Oral Clomipramine hydrochloride 10.000mg","4030100",,,,"518875","CPRD_AURUM"
"61941000033115","Anafranil 10mg capsules (Novartis Pharmaceuticals UK Ltd) Capsule Oral Clomipramine hydrochloride 10.000mg",,,,,"126977","CPRD_AURUM"
"62041000033114","Anafranil 25mg capsules (Novartis Pharmaceuticals UK Ltd) Capsule Oral Clomipramine hydrochloride 25.000mg",,,,,"164098","CPRD_AURUM"
"262141000033116","Clomipramine 25mg capsules Capsule Oral Clomipramine hydrochloride 25.000mg","4030100",,,,"786053","CPRD_AURUM"
"262241000033111","Clomipramine 50mg capsules Capsule Oral Clomipramine hydrochloride 50.000mg","4030100",,,,"739213","CPRD_AURUM"
"62141000033113","Anafranil 50mg capsules (Novartis Pharmaceuticals UK Ltd) Capsule Oral Clomipramine hydrochloride 50.000mg",,,,,"51198","CPRD_AURUM"
"472141000033110","Dothapax 25 capsules (Ashbourne Pharmaceuticals Ltd) Capsule Oral Dosulepin hydrochloride 25.000mg","4030100",,,,"17192","CPRD_AURUM"
"1111541000033117","Prothiaden 25mg capsules (Teofarma) Capsule Oral Dosulepin hydrochloride 25.000mg","4030100",,,,"764163","CPRD_AURUM"
"1111641000033116","Prepadine 25mg capsules (Teva UK Ltd) Capsule Oral Dosulepin hydrochloride 25.000mg","4030100",,,,"461","CPRD_AURUM"
"3088941000033118","Dosulepin 25mg capsules Capsule Oral Dosulepin hydrochloride 25.000mg","4030100",,,,"5558932","CPRD_AURUM"
"3089041000033110","Dosulepin 75mg tablets Tablet Oral Dosulepin hydrochloride 75.000mg","4030100",,,,"5654384","CPRD_AURUM"
"1135941000033116","Prepadine 75mg tablets (Teva UK Ltd) Tablet Oral Dosulepin hydrochloride 75.000mg","4030100",,,,"1292","CPRD_AURUM"
"1135541000033110","Prothiaden 75mg tablets (Teofarma) Tablet Oral Dosulepin hydrochloride 75.000mg","4030100",,,,"748417","CPRD_AURUM"
"479641000033111","Dothapax 75 tablets (Ashbourne Pharmaceuticals Ltd) Tablet Oral Dosulepin hydrochloride 75.000mg","4030100",,,,"14936","CPRD_AURUM"
"1294541000033115","Sinequan 10mg capsules (Pfizer Ltd) Capsule Oral Doxepin hydrochloride 10.000mg",,,,,"24931","CPRD_AURUM"
"473041000033119","Doxepin 10mg capsules Capsule Oral Doxepin hydrochloride 10.000mg",,,,,"80370","CPRD_AURUM"
"473141000033115","Doxepin 25mg capsules Capsule Oral Doxepin hydrochloride 25.000mg","4030100",,,,"243067","CPRD_AURUM"
"1294641000033119","Sinequan 25mg capsules (Pfizer Ltd) Capsule Oral Doxepin hydrochloride 25.000mg",,,,,"53901","CPRD_AURUM"
"4010441000033114","Sinepin 25mg capsules (Marlborough Pharmaceuticals Ltd) Capsule Oral Doxepin hydrochloride 25.000mg","4030100",,,,"1530","CPRD_AURUM"
"4010541000033110","Sinepin 50mg capsules (Marlborough Pharmaceuticals Ltd) Capsule Oral Doxepin hydrochloride 50.000mg","4030100",,,,"933","CPRD_AURUM"
"1294741000033111","Sinequan 50mg capsules (Pfizer Ltd) Capsule Oral Doxepin hydrochloride 50.000mg",,,,,"17840","CPRD_AURUM"
"473241000033110","Doxepin 50mg capsules Capsule Oral Doxepin hydrochloride 50.000mg","4030100",,,,"133750","CPRD_AURUM"
"473341000033117","Doxepin 75mg capsules Capsule Oral Doxepin hydrochloride 75.000mg","4030100",,,,"50140","CPRD_AURUM"
"1294841000033118","Sinequan 75mg capsules (Pfizer Ltd) Capsule Oral Doxepin hydrochloride 75.000mg","4030100",,,,"5304","CPRD_AURUM"
"755541000033119","Imipramine 10mg tablets Tablet Oral Imipramine hydrochloride 10.000mg","7040200",,,,"310796","CPRD_AURUM"
"754241000033115","Imipramine 25mg tablets Tablet Oral Imipramine hydrochloride 25.000mg","4030100",,,,"1182060","CPRD_AURUM"
"1450841000033117","Tofranil 25mg tablets (Novartis Pharmaceuticals UK Ltd) Tablet Oral Imipramine hydrochloride 25.000mg",,,,,"48992","CPRD_AURUM"
"626241000033115","Gamanil 70mg tablets (Merck Serono Ltd) Tablet Oral Lofepramine hydrochloride 70.000mg",,,,,"170764","CPRD_AURUM"
"2215541000033118","Feprapax 70mg tablets (Ashbourne Pharmaceuticals Ltd) Tablet Oral Lofepramine hydrochloride 70.000mg","4030100",,,,"16","CPRD_AURUM"
"850141000033116","Lofepramine 70mg tablets Tablet Oral Lofepramine hydrochloride 70.000mg","4030100",,,,"2709657","CPRD_AURUM"
"917541000033110","Mianserin 10mg tablets Tablet Oral Mianserin hydrochloride 10.000mg","4030100",,,,"79379","CPRD_AURUM"
"917641000033111","Mianserin 20mg tablets Tablet Oral Mianserin hydrochloride 20.000mg","4030100",,,,"28948","CPRD_AURUM"
"917741000033119","Mianserin 30mg tablets Tablet Oral Mianserin hydrochloride 30.000mg","4030100",,,,"108640","CPRD_AURUM"
"989141000033111","Nortriptyline 10mg tablets Tablet Oral Nortriptyline hydrochloride 10.000mg","7040200",,,,"1330631","CPRD_AURUM"
"38741000033119","Allegron 10mg tablets (King Pharmaceuticals Ltd) Tablet Oral Nortriptyline hydrochloride 10.000mg","7040200",,,,"4355","CPRD_AURUM"
"38841000033112","Allegron 25mg tablets (King Pharmaceuticals Ltd) Tablet Oral Nortriptyline hydrochloride 25.000mg","7040200",,,,"8339","CPRD_AURUM"
"989241000033116","Nortriptyline 25mg tablets Tablet Oral Nortriptyline hydrochloride 25.000mg","7040200",,,,"610088","CPRD_AURUM"
"1473641000033113","Trazodone 150mg tablets Tablet Oral Trazodone hydrochloride 150.000mg","4030100",,,,"927590","CPRD_AURUM"
"938741000033111","Molipaxin 150mg tablets (Zentiva) Tablet Oral Trazodone hydrochloride 150.000mg","4030100",,,,"21557","CPRD_AURUM"
"923241000033113","Molipaxin 100mg capsules (Zentiva) Capsule Oral Trazodone hydrochloride 100.000mg","4030100",,,,"18973","CPRD_AURUM"
