DRUG_CODE_ID,DESCRIPTION,BNF1,BNF2,BNF3,ATC,DATABASE
8.6941E+13,Aspirin Paracetamol And Codeine Tablets    ,,,,,CPRD_AURUM
1.04004E+15,Paracetamol & Codeine Tablets    ,,,,,CPRD_AURUM
1.02974E+15,Paracetamol & Codeine Dispersible tablets    ,,,,,CPRD_AURUM
3.18041E+14,Co-Codamol 8/500 Dispersible tablets    ,,,,,CPRD_AURUM
3.35641E+14,Codeine Linctus Diabetic Linctus 15 mg/5 ml    ,,,,,CPRD_AURUM
3.35841E+14,Codeine Phosphate Linctus 15 mg/5 ml    ,,,,,CPRD_AURUM
8.08641E+14,Larapam (Piroxicam) Capsules 10 mg    ,,,,,CPRD_AURUM
4.43241E+14,Dimotane With Codeine Paediatric Elixir    ,,,,,CPRD_AURUM
2.95341E+14,Co-Codamol 30/500 Caplets    ,,,,,CPRD_AURUM
8.31641E+14,Linctus Of Codeine Linctus 15 mg/5 ml    ,,,,,CPRD_AURUM
4.43541E+14,Dihydrocodeine Tartrate Elixir 10mg/5 ml    ,,,,,CPRD_AURUM
8.08741E+14,Larapam (Piroxicam) Capsules 20 mg    ,,,,,CPRD_AURUM
1.36524E+15,Solpadeine Tablets    ,,,,,CPRD_AURUM
4.43141E+14,Dimotane With Codeine Elixir    ,,,,,CPRD_AURUM
4.68641E+14,Dihydrocodeine Tartrate Tablets 30 mg    ,,,,,CPRD_AURUM
7.95741E+14,Kaodene oral suspension (Sovereign Medical Ltd) Oral suspension Oral Codeine phosphate/ Kaolin light 1.000mg/1.000ml + 300.000mg/1.000ml,,,,,CPRD_AURUM
2.64504E+15,Codeine 15mg/5ml linctus sugar free Oral solution Oral Codeine phosphate 3.000mg/1.000ml,3090200,,,,CPRD_AURUM
6.24441E+14,Galcodine 15mg/5ml linctus (Thornton & Ross Ltd) Oral solution Oral Codeine phosphate 3.000mg/1.000ml,3090200,,,,CPRD_AURUM
3.72941E+14,Co-codamol 8mg/500mg tablets Tablet Oral Codeine phosphate/ Paracetamol 8.000mg + 500.000mg,4070100,,,,CPRD_AURUM
9.22541E+14,Migraleve Yellow tablets (McNeil Products Ltd) Tablet Oral Codeine phosphate/ Paracetamol 8.000mg + 500.000mg,4070401,,,,CPRD_AURUM
4.59064E+15,Co-codamol 8mg/500mg caplets (Vantage) Tablet Oral Codeine phosphate/ Paracetamol 8.000mg + 500.000mg,,,,,CPRD_AURUM
3.71041E+14,Co-codaprin 8mg/400mg dispersible tablets Dispersible tablet Oral Aspirin/ Codeine phosphate 400.000mg + 8.000mg,10010100,,,,CPRD_AURUM
3.73141E+14,Co-dydramol 10mg/500mg tablets Tablet Oral Dihydrocodeine tartrate/ Paracetamol 10.000mg + 500.000mg,4070100,,,,CPRD_AURUM
1.23472E+16,Eroset 500mg/10mg tablets (M & A Pharmachem Ltd) Tablet Oral Dihydrocodeine tartrate/ Paracetamol 10.000mg + 500.000mg,,,,,CPRD_AURUM
1.58874E+15,Co-codamol 30mg/500mg effervescent powder sachets sugar free  Effervescent powder Oral Codeine phosphate/ Paracetamol 30.000mg + 500.000mg,,,,,CPRD_AURUM
1.62184E+15,Kapake Insts 30mg/500mg effervescent powder sachets (Galen Ltd)  Effervescent powder Oral Codeine phosphate/ Paracetamol 30.000mg + 500.000mg,,,,,CPRD_AURUM
1.74124E+15,Kapake Insts 60mg/1000mg effervescent powder sachets (Galen Ltd)  Effervescent powder Oral Codeine phosphate/ Paracetamol 60.000mg + 1.000gram,,,,,CPRD_AURUM
7.96641E+14,Kapake 30mg/500mg tablets (Galen Ltd) Tablet Oral Codeine phosphate/ Paracetamol 30.000mg + 500.000mg,4070100,,,,CPRD_AURUM
2.74614E+15,Zapain 30mg/500mg tablets (Advanz Pharma) Tablet Oral Codeine phosphate/ Paracetamol 30.000mg + 500.000mg,4070100,,,,CPRD_AURUM
1.36384E+15,Solpadol 30mg/500mg caplets (Sanofi) Tablet Oral Codeine phosphate/ Paracetamol 30.000mg + 500.000mg,4070100,,,,CPRD_AURUM
3.70641E+14,Co-codamol 30mg/500mg tablets Tablet Oral Codeine phosphate/ Paracetamol 30.000mg + 500.000mg,4070100,,,,CPRD_AURUM
1.26847E+16,Emcozin 30mg/500mg tablets (M & A Pharmachem Ltd) Tablet Oral Codeine phosphate/ Paracetamol 30.000mg + 500.000mg,,,,,CPRD_AURUM
3.73041E+14,Co-codamol 8mg/500mg effervescent tablets  Effervescent tablet Oral Codeine phosphate/ Paracetamol 8.000mg + 500.000mg,4070100,,,,CPRD_AURUM
1.03014E+15,Paracodol 8mg/500mg effervescent tablets (Bayer Plc)  Effervescent tablet Oral Codeine phosphate/ Paracetamol 8.000mg + 500.000mg,4070100,,,,CPRD_AURUM
4.43204E+15,Paracodol 8mg/500mg capsules (Bayer Plc) Capsule Oral Codeine phosphate/ Paracetamol 8.000mg + 500.000mg,4070100,,,,CPRD_AURUM
2.94841E+14,Co-codamol 8mg/500mg capsules Capsule Oral Codeine phosphate/ Paracetamol 8.000mg + 500.000mg,4070100,,,,CPRD_AURUM
3.26141E+14,Co-codamol 30mg/500mg effervescent tablets  Effervescent tablet Oral Codeine phosphate/ Paracetamol 30.000mg + 500.000mg,4070100,,,,CPRD_AURUM
1.47974E+15,Tylex 30mg/500mg effervescent tablets (UCB Pharma Ltd)  Effervescent tablet Oral Codeine phosphate/ Paracetamol 30.000mg + 500.000mg,4070100,,,,CPRD_AURUM
1.35254E+15,Solpadol 30mg/500mg effervescent tablets (Sanofi)  Effervescent tablet Oral Codeine phosphate/ Paracetamol 30.000mg + 500.000mg,4070100,,,,CPRD_AURUM
3.05754E+15,Kapake 30mg/500mg effervescent tablets (Galen Ltd)  Effervescent tablet Oral Codeine phosphate/ Paracetamol 30.000mg + 500.000mg,,,,,CPRD_AURUM
3.33154E+15,Medocodene 30mg/500mg effervescent tablets (Mylan)  Effervescent tablet Oral Codeine phosphate/ Paracetamol 30.000mg + 500.000mg,,,,,CPRD_AURUM
3.33454E+15,Medocodene 30mg/500mg capsules (UCB Pharma Ltd) Capsule Oral Codeine phosphate/ Paracetamol 30.000mg + 500.000mg,4070100,,,,CPRD_AURUM
1.69804E+15,Solpadol 30mg/500mg capsules (Sanofi) Capsule Oral Codeine phosphate/ Paracetamol 30.000mg + 500.000mg,4070100,,,,CPRD_AURUM
2.74594E+15,Zapain 30mg/500mg capsules (Advanz Pharma) Capsule Oral Codeine phosphate/ Paracetamol 30.000mg + 500.000mg,4070100,,,,CPRD_AURUM
1.47964E+15,Tylex 30mg/500mg capsules (UCB Pharma Ltd) Capsule Oral Codeine phosphate/ Paracetamol 30.000mg + 500.000mg,4070100,,,,CPRD_AURUM
1.83084E+15,Kapake 30mg/500mg capsules (Galen Ltd) Capsule Oral Codeine phosphate/ Paracetamol 30.000mg + 500.000mg,4070100,,,,CPRD_AURUM
2.95441E+14,Co-codamol 30mg/500mg capsules Capsule Oral Codeine phosphate/ Paracetamol 30.000mg + 500.000mg,4070100,,,,CPRD_AURUM
3.18024E+15,Co-dydramol 20mg/500mg tablets Tablet Oral Dihydrocodeine tartrate/ Paracetamol 20.000mg + 500.000mg,4070100,,,,CPRD_AURUM
1.16454E+15,Remedeine tablets (Crescent Pharma Ltd) Tablet Oral Dihydrocodeine tartrate/ Paracetamol 20.000mg + 500.000mg,4070100,,,,CPRD_AURUM
7.85904E+15,Dypracet 20mg/500mg tablets (Auden McKenzie (Pharma Division) Ltd) Tablet Oral Dihydrocodeine tartrate/ Paracetamol 20.000mg + 500.000mg,,,,,CPRD_AURUM
7.85914E+15,Dypracet 30mg/500mg tablets (Auden McKenzie (Pharma Division) Ltd) Tablet Oral Dihydrocodeine tartrate/ Paracetamol 30.000mg + 500.000mg,,,,,CPRD_AURUM
1.15754E+15,Remedeine Forte tablets (Crescent Pharma Ltd) Tablet Oral Dihydrocodeine tartrate/ Paracetamol 30.000mg + 500.000mg,4070100,,,,CPRD_AURUM
3.18014E+15,Co-dydramol 30mg/500mg tablets Tablet Oral Dihydrocodeine tartrate/ Paracetamol 30.000mg + 500.000mg,4070100,,,,CPRD_AURUM
9.29294E+15,Solpadeine Max 12.8mg/500mg tablets (Omega Pharma Ltd) Tablet Oral Codeine phosphate/ Paracetamol 12.800mg + 500.000mg,4070100,,,,CPRD_AURUM
2.96884E+15,Panadol Ultra 12.8mg/500mg tablets (GlaxoSmithKline Consumer Healthcare) Tablet Oral Codeine phosphate/ Paracetamol 12.800mg + 500.000mg,4070100,,,,CPRD_AURUM
5.33454E+15,Co-codamol 12.8mg/500mg tablets Tablet Oral Codeine phosphate/ Paracetamol 12.800mg + 500.000mg,4070100,,,,CPRD_AURUM
3.71141E+14,Codeine 15mg tablets Tablet Oral Codeine phosphate 15.000mg,1040200,,,,CPRD_AURUM
3.71241E+14,Codeine 30mg tablets Tablet Oral Codeine phosphate 30.000mg,1040200,,,,CPRD_AURUM
3.71341E+14,Codeine 60mg tablets Tablet Oral Codeine phosphate 60.000mg,1040200,,,,CPRD_AURUM
4.68541E+14,Dihydrocodeine 30mg tablets Tablet Oral Dihydrocodeine tartrate 30.000mg,4070200,,,,CPRD_AURUM
4.68741E+14,Dihydrocodeine 60mg modified-release tablets Modified-release tablet Oral Dihydrocodeine tartrate 60.000mg,4070200,,,,CPRD_AURUM
4.33341E+14,DHC Continus 60mg tablets (Napp Pharmaceuticals Ltd) Modified-release tablet Oral Dihydrocodeine tartrate 60.000mg,4070200,,,,CPRD_AURUM
4.33541E+14,DHC Continus 90mg tablets (Napp Pharmaceuticals Ltd) Modified-release tablet Oral Dihydrocodeine tartrate 90.000mg,4070200,,,,CPRD_AURUM
